Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fo'1;Fo'2;Fo'3;Fo'4;Fo'5;Fo'6;Fo'7;Fo'8;Fo'9;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NPQ)9;ETR1;ETR2;ETR3;ETR4;ETR5;ETR6;ETR7;ETR8;ETR9;
23.05.24;13:50:06;1;0;0.0662;0.0828;0.0735;0.1088;0.0632;0.0529;0.0686;0.0667;0.0544;0.2701;0.3402;0.2049;0.3025;0.1789;0.1363;0.2152;0.1858;0.1902;0.0662;0.0828;0.0735;0.1088;0.0632;0.0529;0.0686;0.0667;0.0544;0.755;0.756;0.641;0.640;0.647;0.612;0.681;0.641;0.714;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
23.05.24;13:52:22;2;0;0.0676;0.0848;0.0750;0.1088;0.0657;0.0515;0.0701;0.0672;0.0564;0.2647;0.3338;0.2034;0.2951;0.1775;0.1363;0.2142;0.1848;0.1873;0.0658;0.0825;0.0733;0.1079;0.0631;0.0529;0.0685;0.0665;0.0542;0.744;0.746;0.631;0.631;0.630;0.622;0.673;0.637;0.699;0.004;0.004;0.002;0.006;0.002;0.000;0.001;0.002;0.003;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
23.05.24;13:55:26;3;1;0.0662;0.0833;0.0740;0.1078;0.0647;0.0500;0.0716;0.0657;0.0574;0.2593;0.3270;0.1975;0.2892;0.1799;0.1373;0.2167;0.1863;0.1838;0.0655;0.0820;0.0726;0.1071;0.0634;0.0531;0.0688;0.0667;0.0539;0.745;0.745;0.625;0.627;0.640;0.636;0.670;0.647;0.688;0.010;0.011;0.009;0.017;0.000;0.000;0.000;0.000;0.007;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;
23.05.24;13:58:28;4;21;0.0686;0.0873;0.0804;0.1201;0.0691;0.0539;0.0804;0.0706;0.0691;0.2559;0.3245;0.1877;0.2765;0.1922;0.1431;0.2201;0.1956;0.1843;0.0653;0.0819;0.0712;0.1053;0.0648;0.0539;0.0691;0.0679;0.0539;0.732;0.731;0.572;0.566;0.640;0.623;0.635;0.639;0.625;0.015;0.012;0.036;0.037;0.000;0.000;0.000;0.000;0.007;  6.5;  6.4;  5.0;  5.0;  5.6;  5.5;  5.6;  5.6;  5.5;
23.05.24;14:01:31;5;56;0.0716;0.0907;0.0912;0.1412;0.0701;0.0549;0.0828;0.0725;0.0691;0.2505;0.3137;0.1755;0.2598;0.1902;0.1407;0.2103;0.1907;0.1770;0.0649;0.0812;0.0694;0.1028;0.0646;0.0536;0.0681;0.0673;0.0533;0.714;0.711;0.480;0.457;0.631;0.610;0.606;0.620;0.609;0.021;0.022;0.076;0.075;0.000;0.000;0.006;0.000;0.027; 16.8; 16.7; 11.3; 10.7; 14.9; 14.3; 14.3; 14.6; 14.3;
23.05.24;14:04:33;6;111;0.0799;0.1015;0.1025;0.1632;0.0701;0.0534;0.0799;0.0716;0.0711;0.2348;0.3005;0.1603;0.2422;0.1789;0.1328;0.1980;0.1819;0.1657;0.0638;0.0803;0.0669;0.0999;0.0632;0.0524;0.0668;0.0662;0.0522;0.660;0.662;0.361;0.326;0.608;0.598;0.597;0.606;0.571;0.045;0.038;0.140;0.134;0.000;0.006;0.034;0.005;0.055; 30.8; 30.9; 16.8; 15.2; 28.4; 27.9; 27.8; 28.3; 26.6;
23.05.24;14:07:36;7;186;0.0863;0.1186;0.1083;0.1691;0.0706;0.0539;0.0819;0.0725;0.0745;0.1887;0.2515;0.1485;0.2230;0.1603;0.1191;0.1691;0.1672;0.1485;0.0599;0.0763;0.0647;0.0965;0.0607;0.0501;0.0631;0.0641;0.0504;0.543;0.528;0.271;0.242;0.560;0.547;0.516;0.566;0.498;0.137;0.122;0.199;0.201;0.045;0.057;0.103;0.043;0.110; 42.4; 41.3; 21.1; 18.9; 43.7; 42.8; 40.3; 44.2; 38.9;
23.05.24;14:10:38;8;281;0.0843;0.1147;0.1078;0.1657;0.0662;0.0510;0.0745;0.0711;0.0716;0.1436;0.1907;0.1343;0.2015;0.1319;0.0980;0.1309;0.1397;0.1211;0.0544;0.0696;0.0619;0.0922;0.0562;0.0460;0.0569;0.0596;0.0468;0.413;0.398;0.197;0.178;0.498;0.480;0.431;0.491;0.409;0.275;0.264;0.279;0.275;0.132;0.146;0.223;0.126;0.214; 48.7; 47.0; 23.3; 21.0; 58.8; 56.6; 50.8; 58.0; 48.3;
23.05.24;14:13:41;9;336;0.0799;0.1078;0.1039;0.1569;0.0603;0.0471;0.0647;0.0657;0.0647;0.1216;0.1593;0.1221;0.1819;0.1098;0.0814;0.1044;0.1201;0.1015;0.0509;0.0649;0.0591;0.0879;0.0517;0.0419;0.0513;0.0557;0.0435;0.343;0.323;0.149;0.137;0.451;0.422;0.380;0.453;0.362;0.361;0.359;0.343;0.343;0.212;0.233;0.320;0.194;0.298; 48.4; 45.6; 21.0; 19.4; 63.6; 59.5; 53.7; 63.9; 51.1;
23.05.24;14:16:43;10;396;0.0765;0.1025;0.0980;0.1466;0.0544;0.0422;0.0559;0.0588;0.0593;0.1103;0.1441;0.1123;0.1676;0.0922;0.0696;0.0877;0.1015;0.0882;0.0488;0.0622;0.0567;0.0844;0.0474;0.0386;0.0469;0.0514;0.0409;0.307;0.289;0.127;0.126;0.410;0.394;0.363;0.420;0.328;0.410;0.410;0.396;0.389;0.286;0.296;0.378;0.263;0.361; 51.0; 48.1; 21.1; 20.9; 68.1; 65.6; 60.4; 69.9; 54.5;
23.05.24;14:19:46;11;461;0.0515;0.0701;0.0632;0.0941;0.0338;0.0260;0.0343;0.0353;0.0382;0.1039;0.1377;0.1064;0.1544;0.0765;0.0603;0.0745;0.0873;0.0784;0.0475;0.0610;0.0552;0.0809;0.0429;0.0355;0.0428;0.0474;0.0387;0.505;0.491;0.406;0.390;0.558;0.569;0.539;0.596;0.512;0.305;0.303;0.286;0.298;0.202;0.170;0.261;0.149;0.284; 97.7; 95.1; 78.5; 75.6;108.0;110.2;104.5;115.3; 99.2;
23.05.24;14:22:49;12;531;0.0745;0.1010;0.0897;0.1353;0.0417;0.0338;0.0436;0.0475;0.0515;0.0975;0.1304;0.0985;0.1456;0.0627;0.0529;0.0603;0.0745;0.0701;0.0462;0.0595;0.0530;0.0784;0.0382;0.0329;0.0377;0.0434;0.0365;0.236;0.226;0.090;0.071;0.336;0.361;0.276;0.362;0.266;0.488;0.478;0.473;0.483;0.431;0.390;0.521;0.382;0.463; 52.7; 50.3; 20.0; 15.8; 74.9; 80.5; 61.6; 80.7; 59.3;
23.05.24;14:25:51;13;611;0.0716;0.0985;0.0843;0.1294;0.0373;0.0314;0.0397;0.0426;0.0495;0.0902;0.1225;0.0882;0.1368;0.0500;0.0456;0.0510;0.0632;0.0637;0.0445;0.0578;0.0499;0.0758;0.0331;0.0299;0.0339;0.0393;0.0347;0.207;0.196;0.000;0.054;0.255;0.312;0.221;0.326;0.223;0.528;0.514;0.569;0.493;0.537;0.458;0.594;0.445;0.517; 53.0; 50.3;  0.0; 13.8; 65.4; 80.0; 56.8; 83.6; 57.2;
23.05.24;14:28:54;14;701;0.0711;0.0961;0.0799;0.1206;0.0314;0.0294;0.0363;0.0387;0.0461;0.0843;0.1132;0.0833;0.1230;0.0422;0.0382;0.0451;0.0520;0.0564;0.0430;0.0557;0.0483;0.0714;0.0295;0.0265;0.0312;0.0346;0.0324;0.157;0.152;0.000;0.000;0.256;0.231;0.196;0.255;0.183;0.580;0.566;0.593;0.593;0.569;0.553;0.636;0.537;0.575; 46.2; 44.6;  0.0;  0.0; 75.3; 67.9; 57.6; 75.0; 53.8;
23.05.24;14:31:56;15;801;0.0686;0.0922;0.0745;0.1127;0.0284;0.0245;0.0343;0.0338;0.0426;0.0799;0.1088;0.0779;0.1147;0.0348;0.0314;0.0387;0.0436;0.0515;0.0418;0.0546;0.0464;0.0685;0.0257;0.0230;0.0280;0.0307;0.0307;0.141;0.153;0.000;0.000;0.183;0.219;0.114;0.225;0.171;0.605;0.576;0.620;0.620;0.617;0.551;0.686;0.593;0.604; 47.5; 51.5;  0.0;  0.0; 61.6; 73.6; 38.3; 75.6; 57.7;
23.05.24;14:34:59;16;926;0.0662;0.0902;0.0716;0.1059;0.0255;0.0221;0.0299;0.0299;0.0402;0.0750;0.1010;0.0711;0.1059;0.0275;0.0240;0.0338;0.0377;0.0456;0.0404;0.0525;0.0439;0.0652;0.0214;0.0188;0.0253;0.0277;0.0285;0.118;0.107;0.000;0.000;0.000;0.000;0.000;0.208;0.118;0.637;0.628;0.653;0.649;0.800;0.800;0.800;0.589;0.642; 45.8; 41.5;  0.0;  0.0;  0.0;  0.0;  0.0; 80.8; 46.0;
